Target,Reporter Countries,Source,Partner Countries,Item Code,Item,,Unit,Value,Raw cocoa eq,
20,Denmark,0,Netherlands,664,"Cocoa, butter",2017,tonnes,1021,2715.425532,Official data
23,Austria,1,Germany,664,"Cocoa, butter",2017,tonnes,1038,2760.638298,Official data
24,France,3,Belgium,664,"Cocoa, butter",2017,tonnes,1040,2765.957447,Official data
24,France,7,Spain,664,"Cocoa, butter",2017,tonnes,1192,3170.212766,Official data
31,Spain,0,Netherlands,664,"Cocoa, butter",2017,tonnes,1210,3218.085106,Official data
21,United Kingdom of Great Britain and Northern Ireland,1,Germany,664,"Cocoa, butter",2017,tonnes,1376,3659.574468,Official data
25,Greece,0,Netherlands,664,"Cocoa, butter",2017,tonnes,1507,4007.978723,Official data
32,Poland,10,Italy,664,"Cocoa, butter",2017,tonnes,1587,4220.744681,Official data
26,Germany,3,Belgium,664,"Cocoa, butter",2017,tonnes,1631,4337.765957,Official data
38,Italy,4,Côte d'Ivoire,664,"Cocoa, butter",2017,tonnes,1703,4529.255319,Official data
24,France,1,Germany,664,"Cocoa, butter",2017,tonnes,1817,4832.446809,Official data
30,Netherlands,9,United Kingdom of Great Britain and Northern Ireland,664,"Cocoa, butter",2017,tonnes,1924,5117.021277,Official data
31,Spain,4,Côte d'Ivoire,664,"Cocoa, butter",2017,tonnes,2271,6039.893617,Official data
32,Poland,4,Côte d'Ivoire,664,"Cocoa, butter",2017,tonnes,2551,6784.574468,Official data
26,Germany,7,Spain,664,"Cocoa, butter",2017,tonnes,2598,6909.574468,Official data
37,Slovakia,0,Netherlands,664,"Cocoa, butter",2017,tonnes,3064,8148.93617,Official data
29,Bulgaria,0,Netherlands,664,"Cocoa, butter",2017,tonnes,3265,8683.510638,Official data
28,Finland,0,Netherlands,664,"Cocoa, butter",2017,tonnes,3557,9460.106383,Official data
40,Czechia,0,Netherlands,664,"Cocoa, butter",2017,tonnes,3783,10061.17021,Official data
33,Belgium,9,United Kingdom of Great Britain and Northern Ireland,664,"Cocoa, butter",2017,tonnes,3999,10635.6383,Official data
21,United Kingdom of Great Britain and Northern Ireland,8,France,664,"Cocoa, butter",2017,tonnes,4075,10837.76596,Official data
23,Austria,0,Netherlands,664,"Cocoa, butter",2017,tonnes,4160,11063.82979,Official data
21,United Kingdom of Great Britain and Northern Ireland,13,Ghana,664,"Cocoa, butter",2017,tonnes,4422,11760.6383,Official data
30,Netherlands,8,France,664,"Cocoa, butter",2017,tonnes,5162,13728.7234,Official data
27,Sweden,0,Netherlands,664,"Cocoa, butter",2017,tonnes,5620,14946.80851,Official data
26,Germany,8,France,664,"Cocoa, butter",2017,tonnes,6682,17771.2766,Official data
41,Ireland,9,United Kingdom of Great Britain and Northern Ireland,664,"Cocoa, butter",2017,tonnes,7384,19638.29787,Official data
32,Poland,8,France,664,"Cocoa, butter",2017,tonnes,7719,20529.25532,Official data
38,Italy,8,France,664,"Cocoa, butter",2017,tonnes,7892,20989.3617,Official data
30,Netherlands,1,Germany,664,"Cocoa, butter",2017,tonnes,8052,21414.89362,Official data
24,France,13,Ghana,664,"Cocoa, butter",2017,tonnes,8509,22630.31915,Official data
38,Italy,0,Netherlands,664,"Cocoa, butter",2017,tonnes,8977,23875,Official data
26,Germany,13,Ghana,664,"Cocoa, butter",2017,tonnes,8978,23877.65957,Official data
38,Italy,1,Germany,664,"Cocoa, butter",2017,tonnes,9222,24526.59574,Official data
32,Poland,0,Netherlands,664,"Cocoa, butter",2017,tonnes,11097,29513.29787,Official data
32,Poland,1,Germany,664,"Cocoa, butter",2017,tonnes,12315,32752.65957,Official data
33,Belgium,1,Germany,664,"Cocoa, butter",2017,tonnes,14314,38069.14894,Official data
26,Germany,4,Côte d'Ivoire,664,"Cocoa, butter",2017,tonnes,14329,38109.04255,Official data
24,France,0,Netherlands,664,"Cocoa, butter",2017,tonnes,19249,51194.14894,Official data
21,United Kingdom of Great Britain and Northern Ireland,0,Netherlands,664,"Cocoa, butter",2017,tonnes,19746,52515.95745,Official data
21,United Kingdom of Great Britain and Northern Ireland,4,Côte d'Ivoire,664,"Cocoa, butter",2017,tonnes,20054,53335.10638,Official data
24,France,4,Côte d'Ivoire,664,"Cocoa, butter",2017,tonnes,20295,53976.06383,Official data
30,Netherlands,4,Côte d'Ivoire,664,"Cocoa, butter",2017,tonnes,23041,61279.25532,Official data
33,Belgium,8,France,664,"Cocoa, butter",2017,tonnes,23160,61595.74468,Official data
30,Netherlands,13,Ghana,664,"Cocoa, butter",2017,tonnes,26915,71582.44681,Official data
33,Belgium,0,Netherlands,664,"Cocoa, butter",2017,tonnes,52702,140164.8936,Official data
22,Processed,3,Belgium,23620,"Cocoa, butter",2017,tonnes,81534,216845.7447,FAO data based on imputation methodology
26,Germany,0,Netherlands,664,"Cocoa, butter",2017,tonnes,87068,231563.8298,Official data
