Target,Reporter Countries,Source,Partner Countries,Item Code,Item,Year,Unit,Value,,Raw cocoa equivalent,Link Color,Commodity
21,United Kingdom of Great Britain and Northern Ireland,1,Germany,662,"Cocoa, paste",2017,tonnes,1024,1024,1280,,Secondary - derived commodity
25,Greece,0,Netherlands,662,"Cocoa, paste",2017,tonnes,1047,1047,1308.75,,Secondary - derived commodity
43,Portugal,4,Côte d'Ivoire,662,"Cocoa, paste",2017,tonnes,1068,,1335,,Secondary - derived commodity
26,Germany,6,Poland,662,"Cocoa, paste",2017,tonnes,1162,1162,1452.5,,Secondary - derived commodity
28,Finland,1,Germany,662,"Cocoa, paste",2017,tonnes,1180,1180,1475,,Secondary - derived commodity
29,Bulgaria,0,Netherlands,662,"Cocoa, paste",2017,tonnes,1183,1183,1478.75,,Secondary - derived commodity
22,Processed,42,Portugal,662,"Cocoa, paste",2017,tonnes,1327,,1658.75,,Secondary - derived commodity
26,Germany,3,Belgium,662,"Cocoa, paste",2017,tonnes,1368,1368,1710,,Secondary - derived commodity
32,Poland,3,Belgium,662,"Cocoa, paste",2017,tonnes,1568,1568,1960,,Secondary - derived commodity
31,Spain,4,Côte d'Ivoire,662,"Cocoa, paste",2017,tonnes,1810,1810,2262.5,,Secondary - derived commodity
32,Poland,11,Slovakia,662,"Cocoa, paste",2017,tonnes,2062,2062,2577.5,,Secondary - derived commodity
24,France,7,Spain,662,"Cocoa, paste",2017,tonnes,2161,2161,2701.25,,Secondary - derived commodity
30,Netherlands,8,France,662,"Cocoa, paste",2017,tonnes,2273,2273,2841.25,,Secondary - derived commodity
39,Croatia,8,France,662,"Cocoa, paste",2017,tonnes,2311,2311,2888.75,,Secondary - derived commodity
28,Finland,0,Netherlands,23610.01,"Cocoa, paste",2017,tonnes,2346,2346,2932.5,,Secondary - derived commodity
29,Bulgaria,11,Slovakia,662,"Cocoa, paste",2017,tonnes,2421,2421,3026.25,,Secondary - derived commodity
22,Processed,11,Slovakia,662,"Cocoa, paste",2017,tonnes,2432,,3040,,Secondary - derived commodity
22,Processed,12,Denmark,662,"Cocoa, paste",2017,tonnes,2686,2686,3357.5,,Secondary - derived commodity
27,Sweden,3,Belgium,662,"Cocoa, paste",2017,tonnes,2861,2861,3576.25,,Secondary - derived commodity
38,Italy,8,France,662,"Cocoa, paste",2017,tonnes,2980,2980,3725,,Secondary - derived commodity
21,United Kingdom of Great Britain and Northern Ireland,4,Côte d'Ivoire,662,"Cocoa, paste",2017,tonnes,3183,3183,3978.75,,Secondary - derived commodity
29,Bulgaria,13,Ghana,23610.01,"Cocoa, paste",2017,tonnes,3206,3206,4007.5,,Secondary - derived commodity
21,United Kingdom of Great Britain and Northern Ireland,0,Netherlands,662,"Cocoa, paste",2017,tonnes,3708,3708,4635,,Secondary - derived commodity
40,Czechia,0,Netherlands,662,"Cocoa, paste",2017,tonnes,3716,3716,4645,,Secondary - derived commodity
22,Processed,15,Sweden,662,"Cocoa, paste",2017,tonnes,3813,3813,4766.25,,Secondary - derived commodity
22,Processed,16,Czechia,662,"Cocoa, paste",2017,tonnes,3830,,4787.5,,Secondary - derived commodity
26,Germany,13,Ghana,662,"Cocoa, paste",2017,tonnes,3904,3904,4880,,Secondary - derived commodity
22,Processed,17,Finland,662,"Cocoa, paste",2017,tonnes,3932,,4915,,Secondary - derived commodity
24,France,3,Belgium,662,"Cocoa, paste",2017,tonnes,4088,4088,5110,,Secondary - derived commodity
21,United Kingdom of Great Britain and Northern Ireland,13,Ghana,23610.01,"Cocoa, paste",2017,tonnes,4130,4130,5162.5,,Secondary - derived commodity
32,Poland,8,France,23610.01,"Cocoa, paste",2017,tonnes,4341,4341,5426.25,,Secondary - derived commodity
22,Processed,14,Croatia,662,"Cocoa, paste",2017,tonnes,4512,,5640,,Secondary - derived commodity
33,Belgium,8,France,662,"Cocoa, paste",2017,tonnes,4632,4632,5790,,Secondary - derived commodity
32,Poland,13,Ghana,662,"Cocoa, paste",2017,tonnes,5062,5062,6327.5,,Secondary - derived commodity
31,Spain,13,Ghana,23610.01,"Cocoa, paste",2017,tonnes,5557,5557,6946.25,,Secondary - derived commodity
22,Processed,18,Greece,662,"Cocoa, paste",2017,tonnes,5736,5736,7170,,Secondary - derived commodity
22,Processed,19,Bulgaria,662,"Cocoa, paste",2017,tonnes,6130,6130,7662.5,,Secondary - derived commodity
33,Belgium,4,Côte d'Ivoire,662,"Cocoa, paste",2017,tonnes,6714,6714,8392.5,,Secondary - derived commodity
38,Italy,0,Netherlands,662,"Cocoa, paste",2017,tonnes,7260,7260,9075,,Secondary - derived commodity
24,France,6,Poland,662,"Cocoa, paste",2017,tonnes,7745,7745,9681.25,,Secondary - derived commodity
22,Processed,5,Austria,662,"Cocoa, paste",2017,tonnes,7882,7882,9852.5,,Secondary - derived commodity
26,Germany,4,Côte d'Ivoire,662,"Cocoa, paste",2017,tonnes,8043,8043,10053.75,,Secondary - derived commodity
32,Poland,4,Côte d'Ivoire,662,"Cocoa, paste",2017,tonnes,8231,8231,10288.75,,Secondary - derived commodity
30,Netherlands,1,Germany,662,"Cocoa, paste",2017,tonnes,8659,8659,10823.75,,Secondary - derived commodity
38,Italy,1,Germany,662,"Cocoa, paste",2017,tonnes,8930,8930,11162.5,,Secondary - derived commodity
24,France,13,Ghana,662,"Cocoa, paste",2017,tonnes,9170,9170,11462.5,,Secondary - derived commodity
24,France,1,Germany,662,"Cocoa, paste",2017,tonnes,10916,10916,13645,,Secondary - derived commodity
32,Poland,1,Germany,662,"Cocoa, paste",2017,tonnes,11623,11623,14528.75,,Secondary - derived commodity
33,Belgium,1,Germany,662,"Cocoa, paste",2017,tonnes,11747,11747,14683.75,,Secondary - derived commodity
32,Poland,0,Netherlands,23610.01,"Cocoa, paste",2017,tonnes,14332,14332,17915,,Secondary - derived commodity
26,Germany,8,France,662,"Cocoa, paste",2017,tonnes,14984,14984,18730,,Secondary - derived commodity
24,France,0,Netherlands,662,"Cocoa, paste",2017,tonnes,18097,18097,22621.25,,Secondary - derived commodity
26,Germany,0,Netherlands,23610.01,"Cocoa, paste",2017,tonnes,24484,24484,30605,,Secondary - derived commodity
30,Netherlands,13,Ghana,23610.01,"Cocoa, paste",2017,tonnes,26083,26083,32603.75,,Secondary - derived commodity
24,France,4,Côte d'Ivoire,23610.01,"Cocoa, paste",2017,tonnes,38154,38154,47692.5,,Secondary - derived commodity
22,Processed,6,Poland,23610.01,"Cocoa, paste",2017,tonnes,45866,45866,57332.5,,Secondary - derived commodity
33,Belgium,0,Netherlands,23610.01,"Cocoa, paste",2017,tonnes,60332,60332,75415,,Secondary - derived commodity
30,Netherlands,4,Côte d'Ivoire,23610.01,"Cocoa, paste",2017,tonnes,76637,76637,95796.25,,Secondary - derived commodity
22,Processed,9,United Kingdom of Great Britain and Northern Ireland,23610.01,"Cocoa, paste",2017,tonnes,97636,97636,122045,,Secondary - derived commodity
22,Processed,7,Spain,,"Cocoa, paste",2017,tonnes,101571,101571,126963.75,,Secondary - derived commodity
22,Processed,10,Italy,,"Cocoa, paste",2017,tonnes,104989,104989,131236.25,,Secondary - derived commodity
22,Processed,3,Belgium,,"Cocoa, paste",2017,tonnes,130261,130261,162826.25,,Secondary - derived commodity
22,Processed,8,France,,"Cocoa, paste",2017,tonnes,166805,166805,208506.25,,Secondary - derived commodity
22,Processed,1,Germany,,"Cocoa, paste",2017,tonnes,338611,338611,423263.75,,Secondary - derived commodity
22,Processed,0,Netherlands,,"Cocoa, paste",2017,tonnes,361702,361702,452127.5,,Secondary - derived commodity
